No,Namespace,Variable,Greenholm Primary School - 138693,Hawthorn Primary School - 103214,Cedars Academy - 143088,Devonshire Junior Academy - 141292,Devonshire Infant Academy - 141293,Kimichi School - 141242,St Peter and St Paul RC Junior and Infant School - 103454,St Peter and St Paul RC Junior and Infant School - 146298,Selly Oak Trust School - 103613,Colmore Junior School - 103188,Colmore Infant and Nursery School - 103189,Acocks Green Primary School - 139443,Wheelers Lane Primary School - 134099,Cottesbrooke Infant and Nursery School - 140706,Oasis Academy Short Heath - 139125,Annie Lennard Primary School - 103932,Osborne Primary School - 147758,Osborne Primary School - 103363,The Dame Ellen Pinsent School - 103615,St Mark's Catholic Primary School - 148973,St Mark's Catholic Primary School - 103468,Court Farm Primary School - 103267,Story Wood School - 103213,Highclare School - 103576,Welsh House Farm Community School and Special Needs Resources Base - 103295,Holy Souls Catholic Primary School - 147009,Holy Souls Catholic Primary School - 103429,Priestley Smith School - 103614,Beeches Infant School - 103164,Beeches Junior School - 103163,Abbey Catholic Primary School - 103422,Abbey Catholic Primary School - 147669,Gilbertstone Primary School - 103201,Glenmead Primary School - 103320,Bournville Village Primary - 103445,Bournville Infant School - 103446,The Oval School - 143087,Swanshurst School - 103514,Wheelers Lane Technology College - 103501,Hamstead Hall Academy - 139746,Hall Green School - 137858,Oscott Academy - 142115,"Ninestiles, an Academy - 136406",The University of Birmingham School - 140863,Aspire Ap School - 139962,Archbishop Ilsley Catholic School - 103541,Archbishop Ilsley Catholic School - 146124,Arena Academy - 145580,Sandwell Valley School - 143038,Fircroft College of Adult Education - 130467,National state-funded primary,National state-funded secondary and 16 to 18,Description
287,CFR_21,T1920CAT5LA,,5593,,,,,,,22895,5593,5593,,5593,,,5415,,5593,22895,,5593,5593,5593,,5593,,,22895,5593,5593,5593,,5593,5593,5593,,,5801,5801,,,,,,,,,,,,,,2019-20 Total Expenditure (&pound; per pupil) for LA
288,CFR_21,T2021CAT1,,3043,,,,,,,7605,2749,2417,,2978,,,2651,,2857,6198,,2370,2804,3795,,3018,,,11708,2810,2378,2445,,2595,3075,2415,,,3757,3696,,,,,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil)
289,CFR_21,T2021CAT2,,567,,,,,,,35,24,173,,38,,,42,,134,51,,155,47,1,,420,,,443,58,161,22,,221,20,34,,,23,7,,,,,,,,,,,,,,2020-21 Supply Staff Costs (&pound; per pupil)
290,CFR_21,T2021CAT3,,1193,,,,,,,4970,563,536,,756,,,648,,1537,3310,,587,1665,1028,,1284,,,3557,655,693,880,,624,800,708,,,561,1952,,,,,,,,,,,,,,2020-21 Back Office (&pound; per pupil)
291,CFR_21,T2021CAT4,,81,,,,,,,135,91,50,,70,,,49,,117,247,,51,91,92,,111,,,78,22,26,93,,51,67,61,,,123,222,,,,,,,,,,,,,,2020-21 Energy (&pound; per pupil)
292,CFR_21,T2021CAT5,,7965,,,,,,,17409,5263,5175,,5119,,,5566,,6547,17356,,5194,7352,6668,,7532,,,21149,6356,5511,5167,,4968,4998,4663,,,5877,6984,,,,,,,,,,,,,,2020-21 Total Expenditure (&pound; per pupil)
293,CFR_21,T2021SUM,,3081,,,,,,,4664,1836,1999,,1277,,,2176,,1902,7550,,2031,2745,1752,,2699,,,5363,2811,2253,1727,,1477,1036,1445,,,1413,1107,,,,,,,,,,,,,,
294,CFR_21,T2021CAT1LA,,2670,,,,,,,7574,2670,2670,,2670,,,2364,,2670,7574,,2670,2670,2670,,2670,,,7574,2670,2670,2670,,2670,2670,2670,,,3521,3521,,,,,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
295,CFR_21,T2021CAT2LA,,126,,,,,,,1017,126,126,,126,,,81,,126,1017,,126,126,126,,126,,,1017,126,126,126,,126,126,126,,,65,65,,,,,,,,,,,,,,2020-21 Supply Staff Costs (&pound; per pupil) for LA
296,CFR_21,T2021CAT3LA,,820,,,,,,,3747,820,820,,820,,,446,,820,3747,,820,820,820,,820,,,3747,820,820,820,,820,820,820,,,1061,1061,,,,,,,,,,,,,,2020-21 Back Office (&pound; per pupil) for LA
297,CFR_21,T2021CAT4LA,,76,,,,,,,262,76,76,,76,,,60,,76,262,,76,76,76,,76,,,262,76,76,76,,76,76,76,,,100,100,,,,,,,,,,,,,,2020-21 Energy (&pound; per pupil) for LA
298,CFR_21,T2021CAT5LA,,5583,,,,,,,20970,5583,5583,,5583,,,5320,,5583,20970,,5583,5583,5583,,5583,,,20970,5583,5583,5583,,5583,5583,5583,,,6360,6360,,,,,,,,,,,,,,2020-21 Total Expenditure (&pound; per pupil) for LA
299,CFR_21,DCAT1,,-222,,,,,,,-58,212,105,,191,,,341,,378,523,,242,387,549,,107,,,-560,344,252,197,,265,602,113,,,301,54,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
300,CFR_21,DCAT2,,411,,,,,,,-218,-54,17,,13,,,-53,,-178,-846,,-115,-28,-130,,131,,,17,22,-56,-57,,-40,-188,-8,,,-39,7,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
301,CFR_21,DCAT3,,-189,,,,,,,"1,725",-260,-158,,-83,,,-81,,-61,668,,-103,-126,-124,,-193,,,"-1,093",60,-43,155,,-177,49,-194,,,-26,247,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
302,CFR_21,DCAT4,,3,,,,,,,-12,20,10,,-36,,,-3,,14,122,,-25,31,-69,,11,,,78,22,26,15,,5,-22,18,,,11,-22,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
303,CFR_21,DCAT5,,-614,,,,,,,444,30,141,,-157,,,-254,,133,151,,-420,-387,-333,,86,,,"-5,925",104,85,314,,24,-460,-234,,,-128,-138,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
304,CFR_21,PGRANTFUNDING,,99,,,,,,,89,86,94,,99,,,99,,97,95,,99,100,95,,99,,,87,100,99,98,,99,96,94,,,98,91,,,,,,,,,,,,,,Grant funding (proportion of total income)
305,CFR_21,PSELFGENERATEDINCOME,,1,,,,,,,11,14,6,,1,,,1,,3,5,,1,0,5,,1,,,13,0,1,2,,1,4,6,,,2,9,,,,,,,,,,,,,,Self generated income (proportion of total income)
306,CFR_21,PTEACHINGSTAFF,,38,,,,,,,44,52,47,,58,,,48,,44,36,,46,38,57,,40,,,55,44,43,47,,52,62,52,,,64,53,,,,,,,,,,,,,,Teaching staff (proportion of total expenditure)
307,CFR_21,PSUPPLYTEACHERS,,7,,,,,,,0,0,3,,1,,,1,,2,0,,3,1,0,,6,,,2,1,3,0,,4,0,1,,,0,0,,,,,,,,,,,,,,Supply Staff (proportion of total expenditure)
308,CFR_21,PEDUCATIONSUPPORTSTAFF,,26,,,,,,,21,15,18,,9,,,21,,17,29,,18,19,5,,19,,,33,13,13,13,,13,1,13,,,8,3,,,,,,,,,,,,,,Education support staff (proportion of total expenditure)
309,CFR_21,PPREMISES,,3,,,,,,,3,5,4,,0,,,8,,2,7,,5,6,9,,3,,,0,0,0,4,,4,7,5,,,3,0,,,,,,,,,,,,,,Premises (incl. Staff costs) (proportion of total expenditure)
310,CFR_21,PBACKOFFICE,,15,,,,,,,29,11,10,,15,,,12,,23,19,,11,23,15,,17,,,17,10,13,17,,13,16,15,,,10,28,,,,,,,,,,,,,,Back office (incl. Staff costs) (proportion of total expenditure)
311,CFR_21,PCATERING,,3,,,,,,,1,1,9,,5,,,1,,5,1,,5,4,3,,4,,,-15,3,1,4,,3,1,4,,,3,3,,,,,,,,,,,,,,Catering (incl. Staff costs) (proportion of total expenditure)
312,CFR_21,POTHERSTAFF,,3,,,,,,,0,5,4,,3,,,4,,2,2,,5,4,3,,3,,,3,7,4,8,,4,5,4,,,1,1,,,,,,,,,,,,,,Other staff costs (proportion of total expenditure)
313,CFR_21,PENERGY,,1,,,,,,,1,2,1,,1,,,1,,2,1,,1,1,1,,1,,,0,0,0,2,,1,1,1,,,2,3,,,,,,,,,,,,,,Energy (proportion of total expenditure)
314,CFR_21,PLEARNINGRESOURCES,,3,,,,,,,1,2,2,,2,,,1,,2,4,,3,3,2,,3,,,1,1,2,2,,3,3,4,,,4,2,,,,,,,,,,,,,,Learning resources (not ICT equipment) (proportion of total expenditure)
315,CFR_21,PICT,,1,,,,,,,0,2,1,,1,,,1,,0,1,,0,0,3,,1,,,0,0,1,0,,1,0,0,,,0,1,,,,,,,,,,,,,,ICT learning resources (proportion of total expenditure)
316,CFR_21,PBOUGHTINPROFESSIONALSERVICES,,0,,,,,,,0,5,1,,2,,,2,,0,0,,2,0,0,,1,,,3,17,18,0,,0,0,0,,,2,1,,,,,,,,,,,,,,Bought in professional services - curriculum (proportion of total expenditure)
317,CFR_21,POTHER,,1,,,,,,,0,1,1,,3,,,2,,2,0,,1,1,2,,1,,,0,2,3,1,,2,3,1,,,4,4,,,,,,,,,,,,,,Other expenditure (proportion of total expenditure)
318,CFR_21,PT1819CAT1,,68%,,,,,,,57%,62%,64%,,64%,,,59%,,56%,67%,,59%,52%,53%,,53%,,,73%,60%,54%,57%,,57%,54%,55%,,,61%,55%,,,,,,,,,,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure)
319,CFR_21,PT1819CAT2,,1%,,,,,,,1%,1%,4%,,1%,,,2%,,3%,3%,,1%,1%,1%,,5%,,,1%,1%,3%,2%,,4%,6%,1%,,,1%,-2%,,,,,,,,,,,,,,2018-19 Supply Staff Costs (proportion of total expenditure)
320,CFR_21,PT1819CAT3,,15%,,,,,,,34%,16%,12%,,16%,,,12%,,29%,16%,,13%,26%,18%,,20%,,,31%,32%,30%,17%,,15%,21%,22%,,,14%,22%,,,,,,,,,,,,,,2018-19 Back Office (proportion of total expenditure)
321,CFR_21,PT1819CAT4,,1%,,,,,,,1%,2%,1%,,2%,,,1%,,1%,1%,,1%,1%,2%,,1%,,,0%,0%,0%,2%,,1%,1%,1%,,,2%,3%,,,,,,,,,,,,,,2018-19 Energy (proportion of total expenditure)
322,CFR_21,PT1819CAT5,,100%,,,,,,,100%,100%,100%,,100%,,,100%,,100%,100%,,100%,100%,100%,,100%,,,100%,100%,100%,100%,,100%,100%,100%,,,100%,100%,,,,,,,,,,,,,,2018-19 Total Expenditure (proportion of total expenditure)
323,CFR_21,PT1819CAT1LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
324,CFR_21,PT1819CAT2LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
325,CFR_21,PT1819CAT3LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2018-19 Back Office (proportion of total expenditure) for LA
326,CFR_21,PT1819CAT4LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2018-19 Energy (proportion of total expenditure) for LA
327,CFR_21,PT1819CAT5LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2018-19 Total Expenditure (proportion of total expenditure) for LA
328,CFR_21,PT1920CAT1,,38%,,,,,,,45%,48%,46%,,53%,,,40%,,39%,33%,,38%,31%,46%,,39%,,,45%,39%,39%,46%,,47%,45%,47%,,,58%,51%,,,,,,,,,,,,,,2019-20 Teaching and Education Support Staff Costs (proportion of total expenditure)
329,CFR_21,PT1920CAT2,,2%,,,,,,,1%,1%,3%,,0%,,,2%,,5%,5%,,5%,1%,2%,,4%,,,2%,1%,4%,2%,,5%,4%,1%,,,1%,0%,,,,,,,,,,,,,,2019-20 Supply Staff Costs (proportion of total expenditure)
330,CFR_21,PT1920CAT3,,16%,,,,,,,19%,16%,14%,,16%,,,13%,,25%,15%,,12%,23%,16%,,20%,,,17%,10%,14%,15%,,16%,14%,18%,,,10%,24%,,,,,,,,,,,,,,2019-20 Back Office (proportion of total expenditure)
331,CFR_21,PT1920CAT4,,1%,,,,,,,1%,1%,1%,,2%,,,1%,,2%,1%,,1%,1%,2%,,1%,,,0%,0%,0%,2%,,1%,2%,1%,,,2%,3%,,,,,,,,,,,,,,2019-20 Energy (proportion of total expenditure)
332,CFR_21,PT1920CAT5,,100%,,,,,,,100%,100%,100%,,100%,,,100%,,100%,100%,,100%,100%,100%,,100%,,,100%,100%,100%,100%,,100%,100%,100%,,,100%,100%,,,,,,,,,,,,,,2019-20 Total Expenditure (proportion of total expenditure)
333,CFR_21,PT1920CAT1LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2019-20 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
334,CFR_21,PT1920CAT2LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2019-20 Supply Staff Costs (proportion of total expenditure) for LA
335,CFR_21,PT1920CAT3LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2019-20 Back Office (proportion of total expenditure) for LA
336,CFR_21,PT1920CAT4LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2019-20 Energy (proportion of total expenditure) for LA
337,CFR_21,PT1920CAT5LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2019-20 Total Expenditure (proportion of total expenditure) for LA
338,CFR_21,PT2021CAT1,,38%,,,,,,,44%,52%,47%,,58%,,,48%,,44%,36%,,46%,38%,57%,,40%,,,55%,44%,43%,47%,,52%,62%,52%,,,64%,53%,,,,,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (proportion of total expenditure)
339,CFR_21,PT2021CAT2,,7%,,,,,,,0%,0%,3%,,1%,,,1%,,2%,0%,,3%,1%,0%,,6%,,,2%,1%,3%,0%,,4%,0%,1%,,,0%,0%,,,,,,,,,,,,,,2020-21 Supply Staff Costs (proportion of total expenditure)
340,CFR_21,PT2021CAT3,,15%,,,,,,,29%,11%,10%,,15%,,,12%,,23%,19%,,11%,23%,15%,,17%,,,17%,10%,13%,17%,,13%,16%,15%,,,10%,28%,,,,,,,,,,,,,,2020-21 Back Office (proportion of total expenditure)
341,CFR_21,PT2021CAT4,,1%,,,,,,,1%,2%,1%,,1%,,,1%,,2%,1%,,1%,1%,1%,,1%,,,0%,0%,0%,2%,,1%,1%,1%,,,2%,3%,,,,,,,,,,,,,,2020-21 Energy (proportion of total expenditure)
342,CFR_21,PT2021CAT5,,100%,,,,,,,100%,100%,100%,,100%,,,100%,,100%,100%,,100%,100%,100%,,100%,,,100%,100%,100%,100%,,100%,100%,100%,,,100%,100%,,,,,,,,,,,,,,2020-21 Total Expenditure (proportion of total expenditure)
343,CFR_21,PT2021CAT1LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2020-21 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
344,CFR_21,PT2021CAT2LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2020-21 Supply Staff Costs (proportion of total expenditure) for LA
345,CFR_21,PT2021CAT3LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2020-21 Back Office (proportion of total expenditure) for LA
346,CFR_21,PT2021CAT4LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2020-21 Energy (proportion of total expenditure) for LA
347,CFR_21,PT2021CAT5LA,,NA,,,,,,,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,,,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,2020-21 Total Expenditure (proportion of total expenditure) for LA
348,CFR_21,PDCAT1,,0%,,,,,,,-1%,4%,1%,,5%,,,8%,,5%,3%,,8%,7%,11%,,1%,,,10%,5%,4%,1%,,5%,17%,5%,,,6%,2%,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
349,CFR_21,PDCAT2,,5%,,,,,,,-1%,-1%,0%,,1%,,,-1%,,-3%,-5%,,-2%,0%,-2%,,2%,,,0%,0%,-1%,-2%,,-1%,-4%,0%,,,-1%,0%,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
350,CFR_21,PDCAT3,,-1%,,,,,,,10%,-5%,-4%,,-1%,,,-1%,,-2%,4%,,-1%,0%,-1%,,-3%,,,0%,0%,-1%,2%,,-3%,2%,-3%,,,0%,4%,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
351,CFR_21,PDCAT4,,0%,,,,,,,0%,1%,0%,,-1%,,,0%,,0%,0%,,0%,0%,-1%,,0%,,,0%,0%,0%,0%,,0%,-1%,0%,,,0%,0%,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
352,CFR_21,PDCAT5,,0%,,,,,,,0%,0%,0%,,0%,,,0%,,0%,0%,,0%,0%,0%,,0%,,,0%,0%,0%,0%,,0%,0%,0%,,,0%,0%,,,,,,,,,,,,,,Difference between 2018-19 and 2020-21 (percentage point difference)
353,CFR_19,LONDONORNONLONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,ABS_19,LA,330,330,330,333,333,,,330,330,330,330,330,330,330,330,333,,330,330,,330,330,330,,330,330,330,330,330,330,330,,330,330,330,330,330,330,330,330,330,,330,330,,330,,330,,,,,Local Authority Number
355,ABS_19,ESTAB,2085,2099,2226,2124,2125,,,3362,7033,2053,2054,2020,2011,2299,2103,2104,,2436,7035,,3383,2191,2097,,2245,2199,3327,7034,2017,2016,3318,,2081,2296,3353,3354,2447,4237,4193,4240,5409,,5411,4014,,4804,,4031,,,,,DfE number of establishment within LA
356,ABS_19,URN,138693,103214,143088,141292,141293,,,146298,103613,103188,103189,139443,134099,140706,139125,103932,,103363,103615,,103468,103267,103213,,103295,147009,103429,103614,103164,103163,103422,,103201,103320,103445,103446,143087,103514,103501,139746,137858,,136406,140863,,103541,,145580,,,,,School unique Reference Number
357,ABS_19,PERCTOT,3.5,4.7,4.9,3.7,4.5,,,3.3,8.3,2.8,2.9,3.2,3.8,4.4,3.7,4.3,,3.7,5,,2.4,5.8,3.8,,5.1,5.7,4.4,9.3,4.3,3.6,2.7,,4.2,4.7,2.9,2.5,4.7,5.4,4.3,5.3,6.2,,5.8,5.8,,5.4,,3.1,,,4,5.5,Percentage of overall absence (authorised and unauthorised) for the full 2018/19 academic year.
358,ABS_19,PPERSABS10,6.3,13.7,9.5,7.2,7.7,,,3.4,26.1,3.5,3.3,4.2,5.5,10.6,7,11.6,,7.2,13.7,,2.7,14.7,7.9,,11.6,19,14.8,33.9,7.6,5.2,2.4,,6.7,11.2,4.9,4.4,10.5,13,8.9,13.6,13.2,,14.3,16.2,,14.7,,5.2,,,8.2,13.7,Percentage of enrolments who are persistent absentees - missing 10% or more of possible sessions across the full 2018/19 academic year.
359,ABS_19,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI,SEC,
360,KS4_PUPDEST_19,RECTYPE,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,1,1,,1,,,1,,,,,,7,Record type
361,KS4_PUPDEST_19,LEA,,,,,,,,,330,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,330,330,330,330,,330,,,330,,,,,,,Local authority number
362,KS4_PUPDEST_19,ESTAB,,,,,,,,,7033,,,,,,,,,,,,,,,,,,,7034,,,,,,,,,,4237,4193,4240,5409,,5411,,,4804,,,,,,,Establishment number
363,KS4_PUPDEST_19,URN,,,,,,,,,103613,,,,,,,,,,,,,,,,,,,103614,,,,,,,,,,103514,103501,139746,137858,,136406,,,103541,,,,,,,School Unique Reference Number
364,KS4_PUPDEST_19,ICLOSE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,,0,,,0,,,,,,,Closed school flag
365,KS4_PUPDEST_19,SCHNAME,,,,,,,,,Selly Oak Trust School,,,,,,,,,,,,,,,,,,,Priestley Smith School,,,,,,,,,,Swanshurst School,Wheelers Lane Technology College,Hamstead Hall Academy,Hall Green School,,"Ninestiles, an Academy",,,Archbishop Ilsley Catholic School,,,,,,,School name
366,KS4_PUPDEST_19,NFTYPE,,,,,,,,,FDS,,,,,,,,,,,,,,,,,,,CYS,,,,,,,,,,CY,CY,ACC,ACC,,ACC,,,VA,,,,,,,School type
367,KS4_PUPDEST_19,COHORT,,,,,,,,,61,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,287,117,171,174,,254,,,198,,,,,,528139,Number of pupils completing key stage 4 in 2016/17
368,KS4_PUPDEST_19,OVERALL_DEST,,,,,,,,,56,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,281,105,159,165,,234,,,184,,,,,,497037,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
369,KS4_PUPDEST_19,APPREN,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2,5,1,6,,8,,,12,,,,,,22539,Apprenticeships (number of pupils)
370,KS4_PUPDEST_19,EMPLOYMENT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,1,1,2,,7,,,10,,,,,,16570,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
371,KS4_PUPDEST_19,EDUCATION,,,,,,,,,56,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,278,99,157,157,,219,,,162,,,,,,457928,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
372,KS4_PUPDEST_19,FE,,,,,,,,,10,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,85,70,60,122,,172,,,86,,,,,,194858,Further education (number of pupils)
373,KS4_PUPDEST_19,SCH_6TH,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,128,16,92,22,,31,,,73,,,,,,196140,School sixth form (number of pupils)
374,KS4_PUPDEST_19,SIXTH_COL,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,63,13,3,10,,12,,,0,,,,,,56382,Sixth form college (number of pupils)
375,KS4_PUPDEST_19,OTHER_EDU,,,,,,,,,46,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2,0,2,3,,4,,,3,,,,,,10548,Other education destination (number of pupils)
376,KS4_PUPDEST_19,NOT_SUSTAINED,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,10,12,8,,17,,,9,,,,,,26414,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils)
377,KS4_PUPDEST_19,UNKNOWN,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2,0,1,,3,,,5,,,,,,4688,Activity not captured (number of pupils)
378,KS4_PUPDEST_19,OVERALL_DESTPER,,,,,,,,,92%,,,,,,,,,,,,,,,,,,,83%,,,,,,,,,,98%,90%,93%,95%,,92%,,,93%,,,,,,94%,Pupils staying in education or employment for at least two terms after key stage 4 (percentage)
379,KS4_PUPDEST_19,APPRENPER,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,1%,4%,1%,3%,,3%,,,6%,,,,,,4%,Apprenticeships (percentage)
380,KS4_PUPDEST_19,EMPLOYMENTPER,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,SP,1%,1%,1%,,3%,,,5%,,,,,,3%,Pupils staying in employment for at least two terms after key stage 4 (percentage)
381,KS4_PUPDEST_19,EDUCATIONPER,,,,,,,,,92%,,,,,,,,,,,,,,,,,,,83%,,,,,,,,,,97%,85%,92%,90%,,86%,,,82%,,,,,,87%,Pupils staying in education for at least two terms after key stage 4 (percentage)
382,KS4_PUPDEST_19,FEPER,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,83%,,,,,,,,,,30%,60%,35%,70%,,68%,,,43%,,,,,,37%,Further education (percentage)
383,KS4_PUPDEST_19,SCH_6THPER,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,45%,14%,54%,13%,,12%,,,37%,,,,,,37%,School sixth form (percentage)
384,KS4_PUPDEST_19,SIXTH_COLPER,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,22%,11%,2%,6%,,5%,,,0%,,,,,,11%,Sixth form college (percentage)
385,KS4_PUPDEST_19,OTHER_EDUPER,,,,,,,,,75%,,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,1%,0%,1%,2%,,2%,,,2%,,,,,,2%,Other education destination (percentage)
386,KS4_PUPDEST_19,NOT_SUSTAINEDPER,,,,,,,,,5%,,,,,,,,,,,,,,,,,,,8%,,,,,,,,,,2%,9%,7%,5%,,7%,,,5%,,,,,,5%,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage)
387,KS4_PUPDEST_19,UNKNOWNPER,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,8%,,,,,,,,,,SP,2%,0%,1%,,1%,,,3%,,,,,,1%,Activity not captured (percentage)
388,KS4_PUPDEST_19,COHORT_DIS,,,,,,,,,38,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,128,40,75,59,,105,,,102,,,,,,142045,Number of disadvantaged pupils completing key stage 4 in 2016/17
389,KS4_PUPDEST_19,OVERALL_DEST_DIS,,,,,,,,,34,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,123,37,67,56,,93,,,92,,,,,,125685,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (number of pupils)
390,KS4_PUPDEST_19,APPREN_DIS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,2,3,1,3,,3,,,8,,,,,,4567,Apprenticeships (number of pupils)
391,KS4_PUPDEST_19,EMPLOYMENT_DIS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,0,0,0,1,,3,,,6,,,,,,6301,Pupils staying in employment for at least two terms after key stage 4 (number of pupils)
392,KS4_PUPDEST_19,EDUCATION_DIS,,,,,,,,,34,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,121,34,66,52,,87,,,78,,,,,,114817,Pupils staying in education for at least two terms after key stage 4 (number of pupils)
