No,Namespace,Variable,Grendon Primary School - 103205,The Orchard School - 132232,Topcliffe Primary School - 143091,Highters Heath Community School - 103365,Four Dwellings Primary Academy - 139131,Nonsuch Primary School - 142358,Rosslyn School and Day Nursery - 103573,St Thomas More Catholic Primary School - 103441,St Thomas More Catholic Primary School - 147017,Reynalds Cross School - 104131,Our Lady of Compassion Catholic Primary School - 104102,Our Lady of Compassion Catholic Primary School - 148089,Al Khair Primary School - 141001,Lindsworth School - 103632,Stanville Primary School - 103257,Green Meadow Primary School - 141610,Chilcote Primary School - 103298,Quinton Church Primary School - 143439,Perryfields Primary School - 103953,St Nicholas Catholic Primary School - 140529,New Oscott Primary School - 134774,Langley Primary School - 103978,Kingsland Primary School (NC) - 103221,Hargate Primary School - 103905,Sundridge Primary School - 103266,Leycroft Academy - 148653,St Andrew's Catholic Primary School - 104099,St Andrew's Catholic Primary School - 148086,St Francis Xavier Catholic Primary School - 141922,The Bridge School - 144043,Woodcock Hill Primary School - 103372,Lodge Primary School - 103969,Broadmeadow Junior School - 103286,Broadmeadow Infant School - 103288,Langley Primary School - 104080,Elms Farm Community Primary School - 103381,Timberley Academy - 138104,Our Lady's Catholic Primary School - 103449,"Christ Church, Church of England Secondary Academy - 148589",West Bromwich Collegiate Academy - 147182,King's Norton Boys' School - 103562,Four Dwellings Academy - 139047,Shenley Academy - 135911,Perryfields High School Specialist Maths and Computing College - 104012,Perryfields Academy - 148267,Langley School - 137007,Silver Birch School 11-17 Independent Provision - 138971,The British Muslim School - 135792,Shireland Biomedical Utc - 141813,Tile Cross Academy - 144306,National state-funded primary,National state-funded secondary and 16 to 18,Description
826,KS5_STUDEST_21,TOT_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,SUPP,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
827,KS5_STUDEST_21,TOT_NOT_CAPTURED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,SUPP,,,,Activity not captured in data (All levels of study)  (number of students) (disadvantaged)
828,KS5_STUDEST_21,TOT_OVERALLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80%,,,,,,97%,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
829,KS5_STUDEST_21,TOT_APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
830,KS5_STUDEST_21,TOT_EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,90%,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
831,KS5_STUDEST_21,TOT_FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Further education (level 3 and below) (All levels of study) (percentage) (disadvantaged)
832,KS5_STUDEST_21,TOT_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,,,,,,69%,,,,Higher education (level 4 and above) (All levels of study) (percentage) (disadvantaged)
833,KS5_STUDEST_21,TOT_OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Other education destinations (All levels of study) (percentage) (disadvantaged)
834,KS5_STUDEST_21,TOT_EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
835,KS5_STUDEST_21,TOT_NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,,,,SUPP,,,,
836,KS5_STUDEST_21,TOT_NOT_CAPTUREDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,SUPP,,,,Activity not captured in data (All levels of study) (percentage) (disadvantaged)
837,KS5_STUDEST_21,TOT_COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,33,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  (not identified as disadvantaged)
838,KS5_STUDEST_21,TOT_OVERALL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,29,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
839,KS5_STUDEST_21,TOT_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
840,KS5_STUDEST_21,TOT_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,27,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
841,KS5_STUDEST_21,TOT_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Further education (level 3 and below) (All levels of study)  (number of students) (not identified as disadvantaged)
842,KS5_STUDEST_21,TOT_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,22,,,,Higher education (level 4 and above) (All levels of study)  (number of students) (not identified as disadvantaged)
843,KS5_STUDEST_21,TOT_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Other education destinations (All levels of study)  (number of students) (not identified as disadvantaged)
844,KS5_STUDEST_21,TOT_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
845,KS5_STUDEST_21,TOT_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,SUPP,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
846,KS5_STUDEST_21,TOT_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,SUPP,,,,Activity not captured in data (All levels of study)  (number of students) (not identified as disadvantaged)
847,KS5_STUDEST_21,TOT_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75%,,,,,,88%,,,,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
848,KS5_STUDEST_21,TOT_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
849,KS5_STUDEST_21,TOT_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,82%,,,,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
850,KS5_STUDEST_21,TOT_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Further education (level 3 and below) (All levels of study) (percentage) (not identified as disadvantaged)
851,KS5_STUDEST_21,TOT_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,,67%,,,,Higher education (level 4 and above) (All levels of study) (percentage) (not identified as disadvantaged)
852,KS5_STUDEST_21,TOT_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Other education destinations (All levels of study) (percentage) (not identified as disadvantaged)
853,KS5_STUDEST_21,TOT_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43%,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
854,KS5_STUDEST_21,TOT_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,SUPP,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
855,KS5_STUDEST_21,TOT_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,,,,SUPP,,,,Activity not captured in data (All levels of study) (percentage) (not identified as disadvantaged)
856,KS5_STUDEST_21,L3_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,55,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  
857,KS5_STUDEST_21,L3_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,51,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
858,KS5_STUDEST_21,L3_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3)  (number of students) 
859,KS5_STUDEST_21,L3_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,48,,,,Students staying in education for at least two terms after 16 to 18 study (Level 3)  (number of students) 
860,KS5_STUDEST_21,L3_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,Further education (level 3 and below) (Level 3)  (number of students) 
861,KS5_STUDEST_21,L3_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,42,,,,Higher education (level 4 and above) (Level 3)  (number of students) 
862,KS5_STUDEST_21,L3_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5,,,,Other education destinations (Level 3)  (number of students) 
863,KS5_STUDEST_21,L3_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,2,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
864,KS5_STUDEST_21,L3_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
865,KS5_STUDEST_21,L3_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,Activity not captured in data (Level 3)  (number of students) 
866,KS5_STUDEST_21,L3_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92%,,,,,,93%,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
867,KS5_STUDEST_21,L3_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,,,,,2%,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3) (percentage) 
868,KS5_STUDEST_21,L3_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56%,,,,,,87%,,,,Students staying in education for at least two terms after 16 to 18 study (Level 3) (percentage) 
869,KS5_STUDEST_21,L3_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,,,,,2%,,,,Further education (level 3 and below) (Level 3) (percentage) 
870,KS5_STUDEST_21,L3_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52%,,,,,,76%,,,,Higher education (level 4 and above) (Level 3) (percentage) 
871,KS5_STUDEST_21,L3_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,9%,,,,Other education destinations (Level 3) (percentage) 
872,KS5_STUDEST_21,L3_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,4%,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
873,KS5_STUDEST_21,L3_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,,,,5%,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
874,KS5_STUDEST_21,L3_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,2%,,,,Activity not captured in data (Level 3) (percentage) 
875,KS5_STUDEST_21,L3_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,27,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  (disadvantaged)
876,KS5_STUDEST_21,L3_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,26,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
877,KS5_STUDEST_21,L3_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
878,KS5_STUDEST_21,L3_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,24,,,,Students staying in education for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
879,KS5_STUDEST_21,L3_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Further education (level 3 and below) (Level 3)  (number of students) (disadvantaged)
880,KS5_STUDEST_21,L3_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Higher education (level 4 and above) (Level 3)  (number of students) (disadvantaged)
881,KS5_STUDEST_21,L3_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,SUPP,,,,Other education destinations (Level 3)  (number of students) (disadvantaged)
882,KS5_STUDEST_21,L3_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
883,KS5_STUDEST_21,L3_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,SUPP,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
884,KS5_STUDEST_21,L3_NOT_CAPTURED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,SUPP,,,,Activity not captured in data (Level 3)  (number of students) (disadvantaged)
885,KS5_STUDEST_21,L3_OVERALLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,96%,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) (disadvantaged)
886,KS5_STUDEST_21,L3_APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3) (percentage) (disadvantaged)
887,KS5_STUDEST_21,L3_EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,,,,,,89%,,,,Students staying in education for at least two terms after 16 to 18 study (Level 3) (percentage) (disadvantaged)
888,KS5_STUDEST_21,L3_FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Further education (level 3 and below) (Level 3) (percentage) (disadvantaged)
889,KS5_STUDEST_21,L3_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Higher education (level 4 and above) (Level 3) (percentage) (disadvantaged)
890,KS5_STUDEST_21,L3_OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,SUPP,,,,Other education destinations (Level 3) (percentage) (disadvantaged)
891,KS5_STUDEST_21,L3_EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 3) (percentage) (disadvantaged)
892,KS5_STUDEST_21,L3_NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,SUPP,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) (disadvantaged)
893,KS5_STUDEST_21,L3_NOT_CAPTUREDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,SUPP,,,,Activity not captured in data (Level 3) (percentage) (disadvantaged)
894,KS5_STUDEST_21,L3_COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,28,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  (not identified as disadvantaged)
895,KS5_STUDEST_21,L3_OVERALL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,25,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
896,KS5_STUDEST_21,L3_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
897,KS5_STUDEST_21,L3_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,24,,,,Students staying in education for at least two terms after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
898,KS5_STUDEST_21,L3_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Further education (level 3 and below) (Level 3)  (number of students) (not identified as disadvantaged)
899,KS5_STUDEST_21,L3_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Higher education (level 4 and above) (Level 3)  (number of students) (not identified as disadvantaged)
900,KS5_STUDEST_21,L3_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,SUPP,,,,Other education destinations (Level 3)  (number of students) (not identified as disadvantaged)
901,KS5_STUDEST_21,L3_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
902,KS5_STUDEST_21,L3_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,SUPP,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
903,KS5_STUDEST_21,L3_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,SUPP,,,,Activity not captured in data (Level 3)  (number of students) (not identified as disadvantaged)
904,KS5_STUDEST_21,L3_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87%,,,,,,89%,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
905,KS5_STUDEST_21,L3_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
906,KS5_STUDEST_21,L3_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53%,,,,,,86%,,,,Students staying in education for at least two terms after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
907,KS5_STUDEST_21,L3_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Further education (level 3 and below) (Level 3) (percentage) (not identified as disadvantaged)
908,KS5_STUDEST_21,L3_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Higher education (level 4 and above) (Level 3) (percentage) (not identified as disadvantaged)
909,KS5_STUDEST_21,L3_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,SUPP,,,,Other education destinations (Level 3) (percentage) (not identified as disadvantaged)
910,KS5_STUDEST_21,L3_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
911,KS5_STUDEST_21,L3_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,,,,SUPP,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
912,KS5_STUDEST_21,L3_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,SUPP,,,,Activity not captured in data (Level 3) (percentage) (not identified as disadvantaged)
913,KS5_STUDEST_21,L2_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,5,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 2)  
914,KS5_STUDEST_21,L2_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,SUPP,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 2)  (number of students) 
915,KS5_STUDEST_21,L2_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 2)  (number of students) 
916,KS5_STUDEST_21,L2_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,SUPP,,,,Students staying in education for at least two terms after 16 to 18 study (Level 2)  (number of students) 
917,KS5_STUDEST_21,L2_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,SUPP,,,,Further education (level 3 and below) (Level 2)  (number of students) 
918,KS5_STUDEST_21,L2_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,SUPP,,,,Higher education (level 4 and above) (Level 2)  (number of students) 
919,KS5_STUDEST_21,L2_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,SUPP,,,,Other education destinations (Level 2)  (number of students) 
920,KS5_STUDEST_21,L2_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 2)  (number of students) 
921,KS5_STUDEST_21,L2_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,SUPP,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 2)  (number of students) 
922,KS5_STUDEST_21,L2_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,SUPP,,,,Activity not captured in data (Level 2)  (number of students) 
923,KS5_STUDEST_21,L2_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79%,,,,,,SUPP,,,,Staying in education or employment for at least two terms after 16 to 18 study (Level 2) (percentage) 
924,KS5_STUDEST_21,L2_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,,,,SUPP,,,,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 2) (percentage) 
925,KS5_STUDEST_21,L2_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,,,,,,SUPP,,,,Students staying in education for at least two terms after 16 to 18 study (Level 2) (percentage) 
926,KS5_STUDEST_21,L2_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,,,,SUPP,,,,Further education (level 3 and below) (Level 2) (percentage) 
927,KS5_STUDEST_21,L2_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,SUPP,,,,Higher education (level 4 and above) (Level 2) (percentage) 
928,KS5_STUDEST_21,L2_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,,,,SUPP,,,,Other education destinations (Level 2) (percentage) 
929,KS5_STUDEST_21,L2_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43%,,,,,,SUPP,,,,Students staying in employment for at least two terms after 16 to 18 study (Level 2) (percentage) 
930,KS5_STUDEST_21,L2_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,,,,SUPP,,,,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 2) (percentage) 
931,KS5_STUDEST_21,L2_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,,SUPP,,,,Activity not captured in data (Level 2) (percentage) 
932,KS5_STUDEST_21,L2_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,SUPP,,,,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 2)  (disadvantaged)
