No,Namespace,Variable,Greenfields Primary School - 133603,Montgomery Primary Academy - 138864,Nishkam Primary School Birmingham - 137492,The Rosary Catholic Primary School - 148439,The Rosary Catholic Primary School - 103428,"St Michael's CofE Primary Academy, Handsworth - 138433",Somerville Primary (NC) School - 103256,Birchfield Primary School - 146075,Welford Primary School - 103328,Edgbaston High School for Girls - 103567,Parkfield Community School - 139162,Sacred Heart Catholic School - 103477,Sacred Heart Catholic School - 147109,Benson Community School - 103362,Conway Primary School - 143086,St Paul's School - 135208,Ark Tindal Primary Academy - 138397,Nechells Primary E-ACT Academy - 138396,Marlborough Junior School - 103312,Marlborough Junior School - 145243,Clifton Primary School - 134840,Yew Tree Community Junior and Infant School (NC) - 142858,Westminster Primary School - 143943,Marlborough Primary School - 146701,Marlborough Infant School - 103232,Summerfield Junior and Infant School - 103196,Highfield Junior and Infant School - 142570,Nelson Mandela School - 103384,"The Olive School, Small Heath - 147452",Shaw Hill Primary School - 103157,Canterbury Cross Primary School - 143942,St Clare's Catholic Primary School - 103476,Nansen Primary School - 138799,City Road Primary School - 146385,Oasis Academy Foundry - 140161,Holy Trinity CE Primary Academy (Handsworth) - 140463,Hamd House School - 131687,Leigh Primary School - 140502,Park Hill Primary School - 103241,St John and Monica Catholic Primary School - 103478,"St Marys C of E Primary and Nursery, Academy, Handsworth - 139041",King Edward VI Handsworth School - 137047,Darul Uloom Islamic High School - 103586,Jamia Islamia Birmingham - 134571,St Paul's School for Girls - 103531,Broadway Academy - 139841,Elmhurst Ballet School - 134908,Rockwood Academy - 138059,"Eden Boys' Leadership Academy, Birmingham East - 145878",Al-Noor Girls Secondary School - 136037,National state-funded primary,National state-funded secondary and 16 to 18,Description
576,KS5_STUDEST_19,TOT_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,14,,,,,,8877,Other education destinations (All levels of study)  (number of students) (not identified as disadvantaged)
577,KS5_STUDEST_19,TOT_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,6,2,,,,,,104277,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
578,KS5_STUDEST_19,TOT_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,6,0,,,,,,41355,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
579,KS5_STUDEST_19,TOT_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,2,,,,,,22845,Activity not captured in data (All levels of study)  (number of students) (not identified as disadvantaged)
580,KS5_STUDEST_19,TOT_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83%,,,90%,95%,,,,,,84%,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
581,KS5_STUDEST_19,TOT_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,0%,8%,,,,,,10%,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
582,KS5_STUDEST_19,TOT_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,,,82%,82%,,,,,,49%,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
583,KS5_STUDEST_19,TOT_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,6%,0%,,,,,,9%,Further education (level 3 and below) (All levels of study) (percentage) (not identified as disadvantaged)
584,KS5_STUDEST_19,TOT_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72%,,,76%,46%,,,,,,38%,Higher education (level 4 and above) (All levels of study) (percentage) (not identified as disadvantaged)
585,KS5_STUDEST_19,TOT_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,,0%,36%,,,,,,2%,Other education destinations (All levels of study) (percentage) (not identified as disadvantaged)
586,KS5_STUDEST_19,TOT_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,8%,5%,,,,,,26%,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
587,KS5_STUDEST_19,TOT_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,,,8%,0%,,,,,,10%,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
588,KS5_STUDEST_19,TOT_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,1%,5%,,,,,,6%,Activity not captured in data (All levels of study) (percentage) (not identified as disadvantaged)
589,KS5_STUDEST_19,L3_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,89,69,,,,,,379441,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  
590,KS5_STUDEST_19,L3_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,79,65,,,,,,333707,Staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
591,KS5_STUDEST_19,L3_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,,,27086,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3)  (number of students) 
592,KS5_STUDEST_19,L3_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,71,58,,,,,,217387,Students staying in education for at least two terms after 16 to 18 study (Level 3)  (number of students) 
593,KS5_STUDEST_19,L3_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,0,,,,,,23189,Further education (level 3 and below) (Level 3)  (number of students) 
594,KS5_STUDEST_19,L3_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,68,37,,,,,,185383,Higher education (level 4 and above) (Level 3)  (number of students) 
595,KS5_STUDEST_19,L3_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,21,,,,,,8815,Other education destinations (Level 3)  (number of students) 
596,KS5_STUDEST_19,L3_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,7,5,,,,,,89234,Students staying in employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
597,KS5_STUDEST_19,L3_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,9,2,,,,,,30770,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
598,KS5_STUDEST_19,L3_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,2,,,,,,14964,Activity not captured in data (Level 3)  (number of students) 
599,KS5_STUDEST_19,L3_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82%,,,89%,94%,,,,,,88%,Staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
600,KS5_STUDEST_19,L3_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,1%,3%,,,,,,7%,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3) (percentage) 
601,KS5_STUDEST_19,L3_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73%,,,80%,84%,,,,,,57%,Students staying in education for at least two terms after 16 to 18 study (Level 3) (percentage) 
602,KS5_STUDEST_19,L3_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,3%,0%,,,,,,6%,Further education (level 3 and below) (Level 3) (percentage) 
603,KS5_STUDEST_19,L3_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,,,76%,54%,,,,,,49%,Higher education (level 4 and above) (Level 3) (percentage) 
604,KS5_STUDEST_19,L3_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,0%,30%,,,,,,2%,Other education destinations (Level 3) (percentage) 
605,KS5_STUDEST_19,L3_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,8%,7%,,,,,,24%,Students staying in employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
606,KS5_STUDEST_19,L3_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%,,,10%,3%,,,,,,8%,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
607,KS5_STUDEST_19,L3_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,1%,3%,,,,,,4%,Activity not captured in data (Level 3) (percentage) 
608,KS5_STUDEST_19,L3_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,19,SUPP,,,,,,69736,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  (disadvantaged)
609,KS5_STUDEST_19,L3_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,16,SUPP,,,,,,58907,Staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
610,KS5_STUDEST_19,L3_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,0,,,,,,3986,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
611,KS5_STUDEST_19,L3_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,14,SUPP,,,,,,39465,Students staying in education for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
612,KS5_STUDEST_19,L3_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,0,,,,,,5809,Further education (level 3 and below) (Level 3)  (number of students) (disadvantaged)
613,KS5_STUDEST_19,L3_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,13,SUPP,,,,,,31767,Higher education (level 4 and above) (Level 3)  (number of students) (disadvantaged)
614,KS5_STUDEST_19,L3_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,SUPP,,,,,,1889,Other education destinations (Level 3)  (number of students) (disadvantaged)
615,KS5_STUDEST_19,L3_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,SUPP,,,,,,15456,Students staying in employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
616,KS5_STUDEST_19,L3_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,SUPP,,,,,,8094,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
617,KS5_STUDEST_19,L3_NOT_CAPTURED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,,,,2735,Activity not captured in data (Level 3)  (number of students) (disadvantaged)
618,KS5_STUDEST_19,L3_OVERALLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75%,,,84%,SUPP,,,,,,84%,Staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) (disadvantaged)
619,KS5_STUDEST_19,L3_APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,5%,0%,,,,,,6%,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3) (percentage) (disadvantaged)
620,KS5_STUDEST_19,L3_EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65%,,,74%,SUPP,,,,,,57%,Students staying in education for at least two terms after 16 to 18 study (Level 3) (percentage) (disadvantaged)
621,KS5_STUDEST_19,L3_FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,5%,0%,,,,,,8%,Further education (level 3 and below) (Level 3) (percentage) (disadvantaged)
622,KS5_STUDEST_19,L3_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65%,,,68%,SUPP,,,,,,46%,Higher education (level 4 and above) (Level 3) (percentage) (disadvantaged)
623,KS5_STUDEST_19,L3_OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,SUPP,,,,,,3%,Other education destinations (Level 3) (percentage) (disadvantaged)
624,KS5_STUDEST_19,L3_EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,5%,SUPP,,,,,,22%,Students staying in employment for at least two terms after 16 to 18 study (Level 3) (percentage) (disadvantaged)
625,KS5_STUDEST_19,L3_NOT_SUSTAINEDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,,,16%,SUPP,,,,,,12%,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) (disadvantaged)
626,KS5_STUDEST_19,L3_NOT_CAPTUREDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,0%,0%,,,,,,4%,Activity not captured in data (Level 3) (percentage) (disadvantaged)
627,KS5_STUDEST_19,L3_COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,70,SUPP,,,,,,309705,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  (not identified as disadvantaged)
628,KS5_STUDEST_19,L3_OVERALL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,63,SUPP,,,,,,274800,Staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
629,KS5_STUDEST_19,L3_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,2,,,,,,23100,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
630,KS5_STUDEST_19,L3_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,57,SUPP,,,,,,177922,Students staying in education for at least two terms after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
631,KS5_STUDEST_19,L3_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,0,,,,,,17380,Further education (level 3 and below) (Level 3)  (number of students) (not identified as disadvantaged)
632,KS5_STUDEST_19,L3_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,55,SUPP,,,,,,153616,Higher education (level 4 and above) (Level 3)  (number of students) (not identified as disadvantaged)
633,KS5_STUDEST_19,L3_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,SUPP,,,,,,6926,Other education destinations (Level 3)  (number of students) (not identified as disadvantaged)
634,KS5_STUDEST_19,L3_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,6,SUPP,,,,,,73778,Students staying in employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
635,KS5_STUDEST_19,L3_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,6,SUPP,,,,,,22676,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (not identified as disadvantaged)
636,KS5_STUDEST_19,L3_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,2,,,,,,12229,Activity not captured in data (Level 3)  (number of students) (not identified as disadvantaged)
637,KS5_STUDEST_19,L3_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83%,,,90%,SUPP,,,,,,89%,Staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
638,KS5_STUDEST_19,L3_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,0%,5%,,,,,,7%,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
639,KS5_STUDEST_19,L3_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74%,,,81%,SUPP,,,,,,57%,Students staying in education for at least two terms after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
640,KS5_STUDEST_19,L3_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1%,,,3%,0%,,,,,,6%,Further education (level 3 and below) (Level 3) (percentage) (not identified as disadvantaged)
641,KS5_STUDEST_19,L3_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72%,,,79%,SUPP,,,,,,50%,Higher education (level 4 and above) (Level 3) (percentage) (not identified as disadvantaged)
642,KS5_STUDEST_19,L3_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,,0%,SUPP,,,,,,2%,Other education destinations (Level 3) (percentage) (not identified as disadvantaged)
643,KS5_STUDEST_19,L3_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,9%,SUPP,,,,,,24%,Students staying in employment for at least two terms after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
644,KS5_STUDEST_19,L3_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,,,9%,SUPP,,,,,,7%,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) (not identified as disadvantaged)
645,KS5_STUDEST_19,L3_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,1%,5%,,,,,,4%,Activity not captured in data (Level 3) (percentage) (not identified as disadvantaged)
646,KS5_STUDEST_19,L2_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,1,1,,,,,,79257,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 2)  
647,KS5_STUDEST_19,L2_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,58519,Staying in education or employment for at least two terms after 16 to 18 study (Level 2)  (number of students) 
648,KS5_STUDEST_19,L2_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,12850,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 2)  (number of students) 
649,KS5_STUDEST_19,L2_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,19645,Students staying in education for at least two terms after 16 to 18 study (Level 2)  (number of students) 
650,KS5_STUDEST_19,L2_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,17080,Further education (level 3 and below) (Level 2)  (number of students) 
651,KS5_STUDEST_19,L2_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,623,Higher education (level 4 and above) (Level 2)  (number of students) 
652,KS5_STUDEST_19,L2_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,1942,Other education destinations (Level 2)  (number of students) 
653,KS5_STUDEST_19,L2_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,26024,Students staying in employment for at least two terms after 16 to 18 study (Level 2)  (number of students) 
654,KS5_STUDEST_19,L2_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,14759,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 2)  (number of students) 
655,KS5_STUDEST_19,L2_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,5979,Activity not captured in data (Level 2)  (number of students) 
656,KS5_STUDEST_19,L2_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,74%,Staying in education or employment for at least two terms after 16 to 18 study (Level 2) (percentage) 
657,KS5_STUDEST_19,L2_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,16%,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 2) (percentage) 
658,KS5_STUDEST_19,L2_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,25%,Students staying in education for at least two terms after 16 to 18 study (Level 2) (percentage) 
659,KS5_STUDEST_19,L2_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,22%,Further education (level 3 and below) (Level 2) (percentage) 
660,KS5_STUDEST_19,L2_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,1%,Higher education (level 4 and above) (Level 2) (percentage) 
661,KS5_STUDEST_19,L2_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,2%,Other education destinations (Level 2) (percentage) 
662,KS5_STUDEST_19,L2_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,33%,Students staying in employment for at least two terms after 16 to 18 study (Level 2) (percentage) 
663,KS5_STUDEST_19,L2_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,19%,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 2) (percentage) 
664,KS5_STUDEST_19,L2_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,8%,Activity not captured in data (Level 2) (percentage) 
665,KS5_STUDEST_19,L2_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,26753,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 2)  (disadvantaged)
666,KS5_STUDEST_19,L2_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,18037,Staying in education or employment for at least two terms after 16 to 18 study (Level 2)  (number of students) (disadvantaged)
667,KS5_STUDEST_19,L2_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,3061,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 2)  (number of students) (disadvantaged)
668,KS5_STUDEST_19,L2_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,7036,Students staying in education for at least two terms after 16 to 18 study (Level 2)  (number of students) (disadvantaged)
669,KS5_STUDEST_19,L2_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,6186,Further education (level 3 and below) (Level 2)  (number of students) (disadvantaged)
670,KS5_STUDEST_19,L2_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,195,Higher education (level 4 and above) (Level 2)  (number of students) (disadvantaged)
671,KS5_STUDEST_19,L2_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,655,Other education destinations (Level 2)  (number of students) (disadvantaged)
672,KS5_STUDEST_19,L2_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,7940,Students staying in employment for at least two terms after 16 to 18 study (Level 2)  (number of students) (disadvantaged)
673,KS5_STUDEST_19,L2_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,6670,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 2)  (number of students) (disadvantaged)
674,KS5_STUDEST_19,L2_NOT_CAPTURED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,2046,Activity not captured in data (Level 2)  (number of students) (disadvantaged)
675,KS5_STUDEST_19,L2_OVERALLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,67%,Staying in education or employment for at least two terms after 16 to 18 study (Level 2) (percentage) (disadvantaged)
676,KS5_STUDEST_19,L2_APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,11%,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 2) (percentage) (disadvantaged)
677,KS5_STUDEST_19,L2_EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,26%,Students staying in education for at least two terms after 16 to 18 study (Level 2) (percentage) (disadvantaged)
678,KS5_STUDEST_19,L2_FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,23%,Further education (level 3 and below) (Level 2) (percentage) (disadvantaged)
679,KS5_STUDEST_19,L2_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,SUPP,SUPP,,,,,,1%,Higher education (level 4 and above) (Level 2) (percentage) (disadvantaged)
