No,Namespace,Variable,Al-Ameen Primary School - 130244,Rookery School - 137168,St Matthew's CofE Primary School - 104000,Moseley Church of England Primary School - 103398,Brookvale Primary School - 139465,Thornton Primary School - 103268,Cherry Orchard Primary School - 103178,Ward End Primary School - 103217,Uffculme School - 103605,St Philip's Catholic Primary School - 141929,Redhill Primary School - 103247,Victoria Park Primary - 138033,"St James Church of England Primary School, Handsworth - 103401",Erdington Hall Primary School - 138194,St Bernadette's Catholic Primary School - 103460,Shireland Technology Primary School - 147191,St Mary and St John Junior and Infant School - 146268,Harborne Primary School - 132261,St Mary and St John Junior and Infant School - 103442,"The Olive School, Birmingham - 142888",Springfield Primary Academy - 144722,Springfield Primary School - 134083,St Augustine's Catholic Primary School - 103431,Wattville Primary School - 132201,Al-Furqan Primary School - 131465,The Pines Special School - 103622,St Mary's Catholic Primary School - 103438,Marsh Hill Primary School - 103233,Kings Heath Primary School - 134098,St Cuthbert's RC Junior and Infant (NC) School - 103470,Moor Green Primary Academy - 139000,Washwood Heath Academy - 139888,Tiverton Academy - 139439,St Edward's Catholic Primary School - 103447,Bearwood Primary School - 103933,Oasis Academy Hobmoor - 139214,"Eden Girls'  Leadership Academy, Birmingham - 147201",Flexible Learning School - 135561,Queensbridge School - 103497,Fox Hollies School and Performing Arts College - 103625,Shireland Collegiate Academy - 135170,Ward End Community College - 135238,Yardleys School - 139994,Stockland Green School - 138137,Lordswood Boys' School - 145120,Lordswood Girls' School and Sixth Form Centre - 136592,Moseley School and Sixth Form - 103519,Erdington Academy - 143413,Queensbury School - 146858,Queensbury School - 103616,National state-funded primary,National state-funded secondary and 16 to 18,Description
254,CFR_21,SUPPLYTEACHERS,,,10,257,,54,423,221,1960,,5,,118,,71,,,87,,,,,49,21,131,199,0,11,149,40,,,,9,11,,,,11,532,,,,,,,3,,,14,,,Supply Staff (&pound; per pupil)
255,CFR_21,EDUCATIONSUPPORTSTAFF,,,876,494,,820,885,731,7712,,1198,,1075,,773,,,679,,,,,896,1519,558,6035,899,897,882,1289,,,,615,881,,,,1044,8837,,,,,,,851,,,1350,,,Education support staff (&pound; per pupil)
256,CFR_21,PREMISES,,,420,230,,271,347,186,913,,361,,65,,88,,,295,,,,,330,204,192,654,225,37,274,257,,,,263,230,,,,355,434,,,,,,,456,,,376,,,Premises (incl. Staff costs) (&pound; per pupil)
257,CFR_21,BACKOFFICE,,,553,1348,,727,482,889,1778,,670,,706,,701,,,490,,,,,815,876,715,2082,540,1225,977,845,,,,978,406,,,,702,3043,,,,,,,941,,,1236,,,Back office (incl. Staff costs) (&pound; per pupil)
258,CFR_21,CATERING,,,207,154,,227,181,232,375,,240,,273,,274,,,164,,,,,313,217,184,298,178,236,-9,258,,,,259,139,,,,-44,338,,,,,,,69,,,27,,,Catering (incl. Staff costs) (&pound; per pupil)
259,CFR_21,OTHERSTAFF,,,93,172,,216,467,228,443,,208,,168,,167,,,236,,,,,239,195,143,452,225,318,228,176,,,,83,185,,,,57,877,,,,,,,8,,,113,,,Other staff costs (&pound; per pupil)
260,CFR_21,ENERGY,,,85,31,,68,56,61,329,,88,,83,,63,,,107,,,,,76,81,71,249,62,68,69,118,,,,39,56,,,,111,147,,,,,,,107,,,79,,,Energy (&pound; per pupil)
261,CFR_21,LEARNINGRESOURCES,,,291,78,,88,289,80,239,,56,,164,,177,,,163,,,,,285,39,218,173,85,230,101,154,,,,69,82,,,,136,196,,,,,,,303,,,193,,,Learning resources (not ICT equipment) (&pound; per pupil)
262,CFR_21,ICT,,,169,30,,4,34,42,190,,42,,71,,34,,,0,,,,,0,38,18,193,39,0,30,30,,,,2,36,,,,87,98,,,,,,,0,,,54,,,ICT learning resources (&pound; per pupil)
263,CFR_21,BOUGHTINPROFESSIONALSERVICES,,,22,0,,47,25,2,431,,6,,327,,4,,,1,,,,,3,2,0,5,3,47,2,4,,,,0,74,,,,0,34,,,,,,,75,,,4,,,Bought in professional services - curriculum (&pound; per pupil)
264,CFR_21,OTHER,,,13,113,,78,114,102,29,,105,,98,,40,,,115,,,,,61,105,38,21,46,137,108,54,,,,46,72,,,,166,26,,,,,,,236,,,73,,,Other expenditure (&pound; per pupil)
265,CFR_21,TOTALEXPENDITURE,,,5378,5414,,5128,5466,5150,20812,,6038,,5446,,5466,,,4830,,,,,5646,5822,4866,17559,4590,5664,5322,5778,,,,4837,4997,,,,6386,22754,,,,,,,6529,,,6036,,,Total expenditure (&pound; per pupil)
266,CFR_21,T1819CAT1,,,"3,174","3,153",,"3,064","2,760","2,928","14,383",,"4,202",,"3,137",,"3,413",,,"3,013",,,,,"3,101","3,592","2,769","12,340","3,013","3,109","3,105","3,668",,,,"2,974","3,656",,,,"4,340","16,385",,,,,,,"4,203",,,"9,384",,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil)
267,CFR_21,T1819CAT2,,,5,24,,36,297,110,571,,5,,149,,137,,,29,,,,,126,89,161,251,9,129,67,0,,,,102,131,,,,8,616,,,,,,,137,,,248,,,2018-19 Supply Staff Costs (&pound; per pupil)
268,CFR_21,T1819CAT3,,,467,"1,090",,741,794,834,"4,423",,781,,"1,021",,614,,,994,,,,,787,803,733,"2,613",569,"1,367",888,829,,,,859,370,,,,678,"3,566",,,,,,,"1,033",,,"2,212",,,2018-19 Back Office (&pound; per pupil)
269,CFR_21,T1819CAT4,,,62,78,,56,58,75,313,,115,,68,,52,,,56,,,,,64,151,90,257,55,69,63,56,,,,94,48,,,,109,99,,,,,,,167,,,171,,,2018-19 Energy (&pound; per pupil)
270,CFR_21,T1819CAT5,,,"4,960","5,489",,"5,067","5,197","5,139","21,910",,"6,280",,"5,230",,"5,321",,,"5,087",,,,,"5,266","5,562","4,718","17,281","4,612","5,627","5,024","5,588",,,,"5,062","5,109",,,,"6,938","24,091",,,,,,,"7,177",,,"14,120",,,2018-19 Total Expenditure (&pound; per pupil)
271,CFR_21,T1819SUM,,,1252,1144,,1170,1288,1192,2220,,1177,,855,,1105,,,995,,,,,1188,927,965,1820,966,953,901,1035,,,,1033,904,,,,1803,3425,,,,,,,1637,,,2105,,,
272,CFR_21,T1819CAT1LA,,,"3,249","3,064",,"3,291","3,064","3,291","13,939",,"3,291",,"3,291",,"3,291",,,"3,064",,,,,"3,064","3,291","3,291","14,219","3,064","3,291","3,064","3,291",,,,"3,064","3,329",,,,"3,734","14,219",,,,,,,"3,525",,,"14,219",,,2018-19 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
273,CFR_21,T1819CAT2LA,,,128,112,,128,112,128,294,,128,,128,,128,,,112,,,,,112,128,128,607,112,128,112,128,,,,112,105,,,,91,607,,,,,,,79,,,607,,,2018-19 Supply Staff Costs (&pound; per pupil) for LA
274,CFR_21,T1819CAT3LA,,,457,788,,875,788,875,"3,685",,875,,875,,875,,,788,,,,,788,875,875,"4,444",788,875,788,875,,,,788,446,,,,"1,014","4,444",,,,,,,"1,102",,,"4,444",,,2018-19 Back Office (&pound; per pupil) for LA
275,CFR_21,T1819CAT4LA,,,62,67,,69,67,69,157,,69,,69,,69,,,67,,,,,67,69,69,168,67,69,67,69,,,,67,59,,,,102,168,,,,,,,110,,,168,,,2018-19 Energy (&pound; per pupil) for LA
276,CFR_21,T1819CAT5LA,,,"5,201","5,175",,"5,547","5,175","5,547","19,551",,"5,547",,"5,547",,"5,547",,,"5,175",,,,,"5,175","5,547","5,547","23,070","5,175","5,547","5,175","5,547",,,,"5,175","5,111",,,,"6,284","23,070",,,,,,,"6,379",,,"23,070",,,2018-19 Total Expenditure (&pound; per pupil) for LA
277,CFR_21,T1920CAT1,,,2376,2304,,2304,2243,2343,6684,,2907,,2108,,2875,,,2341,,,,,2317,2540,2381,6918,2184,2285,2318,2508,,,,2295,2694,,,,3607,7882,,,,,,,3253,,,6406,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil)
278,CFR_21,T1920CAT2,,,20,220,,150,309,214,2423,,1,,202,,115,,,27,,,,,47,27,233,90,7,154,41,0,,,,58,60,,,,34,979,,,,,,,49,,,399,,,2019-20 Supply Staff Costs (&pound; per pupil)
279,CFR_21,T1920CAT3,,,500,1274,,757,498,1051,3060,,677,,635,,641,,,618,,,,,727,978,633,2118,449,1500,782,849,,,,890,393,,,,755,3510,,,,,,,826,,,2595,,,2019-20 Back Office (&pound; per pupil)
280,CFR_21,T1920CAT4,,,62,71,,78,61,61,469,,89,,66,,58,,,65,,,,,65,104,80,221,75,76,59,94,,,,51,58,,,,127,232,,,,,,,173,,,145,,,2019-20 Energy (&pound; per pupil)
281,CFR_21,T1920CAT5,,,5298,5515,,5511,5458,5481,23716,,6046,,5379,,5394,,,4897,,,,,5512,5991,4885,17901,4522,5700,5048,5764,,,,4836,5221,,,,7538,26526,,,,,,,6517,,,14900,,,2019-20 Total Expenditure (&pound; per pupil)
282,CFR_21,T1920SUM,,,2340,1646,,2222,2347,1812,11080,,2372,,2368,,1705,,,1846,,,,,2356,2342,1558,8554,1807,1685,1848,2313,,,,1542,2016,,,,3015,13923,,,,,,,2216,,,5355,,,
283,CFR_21,T1920CAT1LA,,,2205,2442,,2442,2442,2442,7823,,2442,,2442,,2442,,,2442,,,,,2442,2442,2442,7823,2442,2442,2442,2442,,,,2442,2205,,,,2945,7823,,,,,,,2945,,,7823,,,2019-20 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
284,CFR_21,T1920CAT2LA,,,120,175,,175,175,175,1196,,175,,175,,175,,,175,,,,,175,175,175,1196,175,175,175,175,,,,175,120,,,,127,1196,,,,,,,127,,,1196,,,2019-20 Supply Staff Costs (&pound; per pupil) for LA
285,CFR_21,T1920CAT3LA,,,433,866,,866,866,866,3885,,866,,866,,866,,,866,,,,,866,866,866,3885,866,866,866,866,,,,866,433,,,,909,3885,,,,,,,909,,,3885,,,2019-20 Back Office (&pound; per pupil) for LA
286,CFR_21,T1920CAT4LA,,,68,72,,72,72,72,279,,72,,72,,72,,,72,,,,,72,72,72,279,72,72,72,72,,,,72,68,,,,102,279,,,,,,,102,,,279,,,2019-20 Energy (&pound; per pupil) for LA
287,CFR_21,T1920CAT5LA,,,5415,5593,,5593,5593,5593,22895,,5593,,5593,,5593,,,5593,,,,,5593,5593,5593,22895,5593,5593,5593,5593,,,,5593,5415,,,,5801,22895,,,,,,,5801,,,22895,,,2019-20 Total Expenditure (&pound; per pupil) for LA
288,CFR_21,T2021CAT1,,,2639,2507,,2528,2163,2376,6413,,3059,,2298,,3074,,,2493,,,,,2579,2525,2598,7198,2288,2458,2511,2553,,,,2474,2825,,,,3761,8192,,,,,,,3480,,,2517,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil)
289,CFR_21,T2021CAT2,,,10,257,,54,423,221,1960,,5,,118,,71,,,87,,,,,49,21,131,199,0,11,149,40,,,,9,11,,,,11,532,,,,,,,3,,,14,,,2020-21 Supply Staff Costs (&pound; per pupil)
290,CFR_21,T2021CAT3,,,553,1348,,727,482,889,1778,,670,,706,,701,,,490,,,,,815,876,715,2082,540,1225,977,845,,,,978,406,,,,702,3043,,,,,,,941,,,1236,,,2020-21 Back Office (&pound; per pupil)
291,CFR_21,T2021CAT4,,,85,31,,68,56,61,329,,88,,83,,63,,,107,,,,,76,81,71,249,62,68,69,118,,,,39,56,,,,111,147,,,,,,,107,,,79,,,2020-21 Energy (&pound; per pupil)
292,CFR_21,T2021CAT5,,,5378,5414,,5128,5466,5150,20812,,6038,,5446,,5466,,,4830,,,,,5646,5822,4866,17559,4590,5664,5322,5778,,,,4837,4997,,,,6386,22754,,,,,,,6529,,,6036,,,2020-21 Total Expenditure (&pound; per pupil)
293,CFR_21,T2021SUM,,,2091,1271,,1751,2342,1603,10332,,2216,,2241,,1557,,,1653,,,,,2127,2319,1351,7831,1700,1902,1616,2222,,,,1337,1699,,,,1801,10840,,,,,,,1998,,,2190,,,
294,CFR_21,T2021CAT1LA,,,2364,2670,,2670,2670,2670,7574,,2670,,2670,,2670,,,2670,,,,,2670,2670,2670,7574,2670,2670,2670,2670,,,,2670,2364,,,,3521,7574,,,,,,,3521,,,7574,,,2020-21 Teaching and Education Support Staff Costs (&pound; per pupil) for LA
295,CFR_21,T2021CAT2LA,,,81,126,,126,126,126,1017,,126,,126,,126,,,126,,,,,126,126,126,1017,126,126,126,126,,,,126,81,,,,65,1017,,,,,,,65,,,1017,,,2020-21 Supply Staff Costs (&pound; per pupil) for LA
296,CFR_21,T2021CAT3LA,,,446,820,,820,820,820,3747,,820,,820,,820,,,820,,,,,820,820,820,3747,820,820,820,820,,,,820,446,,,,1061,3747,,,,,,,1061,,,3747,,,2020-21 Back Office (&pound; per pupil) for LA
297,CFR_21,T2021CAT4LA,,,60,76,,76,76,76,262,,76,,76,,76,,,76,,,,,76,76,76,262,76,76,76,76,,,,76,60,,,,100,262,,,,,,,100,,,262,,,2020-21 Energy (&pound; per pupil) for LA
298,CFR_21,T2021CAT5LA,,,5320,5583,,5583,5583,5583,20970,,5583,,5583,,5583,,,5583,,,,,5583,5583,5583,20970,5583,5583,5583,5583,,,,5583,5320,,,,6360,20970,,,,,,,6360,,,20970,,,2020-21 Total Expenditure (&pound; per pupil) for LA
299,CFR_21,DCAT1,,,263,203,,224,-80,33,-271,,152,,190,,199,,,152,,,,,262,-15,217,280,104,173,193,45,,,,179,131,,,,154,310,,,,,,,227,,,"-3,889",,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
300,CFR_21,DCAT2,,,-10,37,,-96,114,7,-463,,4,,-84,,-44,,,60,,,,,2,-6,-102,109,-7,-143,108,40,,,,-49,-49,,,,-23,-447,,,,,,,-46,,,-385,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
301,CFR_21,DCAT3,,,53,74,,-30,-16,-162,"-1,282",,-7,,71,,60,,,-128,,,,,88,-102,82,-36,91,-275,195,-4,,,,88,13,,,,-53,-467,,,,,,,115,,,"-1,359",,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
302,CFR_21,DCAT4,,,23,-40,,-10,-5,0,-140,,-1,,17,,5,,,42,,,,,11,-23,-9,28,-13,-8,10,24,,,,-12,-2,,,,-16,-85,,,,,,,-66,,,-66,,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
303,CFR_21,DCAT5,,,80,-101,,-383,8,-331,"-2,904",,-8,,67,,72,,,-67,,,,,134,-169,-19,-342,68,-36,274,14,,,,1,-224,,,,"-1,152","-3,772",,,,,,,12,,,"-8,864",,,Difference between 2018-19 and 2020-21 (&pound; per pupil)
304,CFR_21,PGRANTFUNDING,,,97,92,,98,97,99,91,,100,,100,,93,,,94,,,,,99,100,98,97,97,100,100,97,,,,96,99,,,,97,99,,,,,,,94,,,99,,,Grant funding (proportion of total income)
305,CFR_21,PSELFGENERATEDINCOME,,,3,8,,2,3,1,9,,0,,0,,7,,,6,,,,,1,0,2,3,3,0,0,3,,,,4,1,,,,3,1,,,,,,,6,,,1,,,Self generated income (proportion of total income)
306,CFR_21,PTEACHINGSTAFF,,,49,46,,49,40,46,31,,51,,42,,56,,,52,,,,,46,43,53,41,50,43,47,44,,,,51,57,,,,59,36,,,,,,,53,,,42,,,Teaching staff (proportion of total expenditure)
307,CFR_21,PSUPPLYTEACHERS,,,0,5,,1,8,4,9,,0,,2,,1,,,2,,,,,1,0,3,1,0,0,3,1,,,,0,0,,,,0,2,,,,,,,0,,,0,,,Supply Staff (proportion of total expenditure)
308,CFR_21,PEDUCATIONSUPPORTSTAFF,,,16,9,,16,16,14,37,,20,,20,,14,,,14,,,,,16,26,11,34,20,16,17,22,,,,13,18,,,,16,39,,,,,,,13,,,22,,,Education support staff (proportion of total expenditure)
309,CFR_21,PPREMISES,,,8,4,,5,6,4,4,,6,,1,,2,,,6,,,,,6,4,4,4,5,1,5,4,,,,5,5,,,,6,2,,,,,,,7,,,6,,,Premises (incl. Staff costs) (proportion of total expenditure)
310,CFR_21,PBACKOFFICE,,,10,25,,14,9,17,9,,11,,13,,13,,,10,,,,,14,15,15,12,12,22,18,15,,,,20,8,,,,11,13,,,,,,,14,,,20,,,Back office (incl. Staff costs) (proportion of total expenditure)
311,CFR_21,PCATERING,,,4,3,,4,3,5,2,,4,,5,,5,,,3,,,,,6,4,4,2,4,4,0,4,,,,5,3,,,,-1,1,,,,,,,1,,,0,,,Catering (incl. Staff costs) (proportion of total expenditure)
312,CFR_21,POTHERSTAFF,,,2,3,,4,9,4,2,,3,,3,,3,,,5,,,,,4,3,3,3,5,6,4,3,,,,2,4,,,,1,4,,,,,,,0,,,2,,,Other staff costs (proportion of total expenditure)
313,CFR_21,PENERGY,,,2,1,,1,1,1,2,,1,,2,,1,,,2,,,,,1,1,1,1,1,1,1,2,,,,1,1,,,,2,1,,,,,,,2,,,1,,,Energy (proportion of total expenditure)
314,CFR_21,PLEARNINGRESOURCES,,,5,1,,2,5,2,1,,1,,3,,3,,,3,,,,,5,1,4,1,2,4,2,3,,,,1,2,,,,2,1,,,,,,,5,,,3,,,Learning resources (not ICT equipment) (proportion of total expenditure)
315,CFR_21,PICT,,,3,1,,0,1,1,1,,1,,1,,1,,,0,,,,,0,1,0,1,1,0,1,1,,,,0,1,,,,1,0,,,,,,,0,,,1,,,ICT learning resources (proportion of total expenditure)
316,CFR_21,PBOUGHTINPROFESSIONALSERVICES,,,0,0,,1,0,0,2,,0,,6,,0,,,0,,,,,0,0,0,0,0,1,0,0,,,,0,1,,,,0,0,,,,,,,1,,,0,,,Bought in professional services - curriculum (proportion of total expenditure)
317,CFR_21,POTHER,,,0,2,,2,2,2,0,,2,,2,,1,,,2,,,,,1,2,1,0,1,2,2,1,,,,1,1,,,,3,0,,,,,,,4,,,1,,,Other expenditure (proportion of total expenditure)
318,CFR_21,PT1819CAT1,,,64%,57%,,60%,53%,57%,66%,,67%,,60%,,64%,,,59%,,,,,59%,65%,59%,71%,65%,55%,62%,66%,,,,59%,72%,,,,63%,68%,,,,,,,59%,,,66%,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure)
319,CFR_21,PT1819CAT2,,,0%,0%,,1%,6%,2%,3%,,0%,,3%,,3%,,,1%,,,,,2%,2%,3%,1%,0%,2%,1%,0%,,,,2%,3%,,,,0%,3%,,,,,,,2%,,,2%,,,2018-19 Supply Staff Costs (proportion of total expenditure)
320,CFR_21,PT1819CAT3,,,9%,20%,,15%,15%,16%,20%,,12%,,20%,,12%,,,20%,,,,,15%,14%,16%,15%,12%,24%,18%,15%,,,,17%,7%,,,,10%,15%,,,,,,,14%,,,16%,,,2018-19 Back Office (proportion of total expenditure)
321,CFR_21,PT1819CAT4,,,1%,1%,,1%,1%,1%,1%,,2%,,1%,,1%,,,1%,,,,,1%,3%,2%,1%,1%,1%,1%,1%,,,,2%,1%,,,,2%,0%,,,,,,,2%,,,1%,,,2018-19 Energy (proportion of total expenditure)
322,CFR_21,PT1819CAT5,,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,100%,,,,,100%,100%,100%,100%,100%,100%,100%,100%,,,,100%,100%,,,,100%,100%,,,,,,,100%,,,100%,,,2018-19 Total Expenditure (proportion of total expenditure)
323,CFR_21,PT1819CAT1LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
324,CFR_21,PT1819CAT2LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Supply Staff Costs (proportion of total expenditure) for LA
325,CFR_21,PT1819CAT3LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Back Office (proportion of total expenditure) for LA
326,CFR_21,PT1819CAT4LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Energy (proportion of total expenditure) for LA
327,CFR_21,PT1819CAT5LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2018-19 Total Expenditure (proportion of total expenditure) for LA
328,CFR_21,PT1920CAT1,,,45%,42%,,42%,41%,43%,28%,,48%,,39%,,53%,,,48%,,,,,42%,42%,49%,39%,48%,40%,46%,44%,,,,47%,52%,,,,48%,30%,,,,,,,50%,,,43%,,,2019-20 Teaching and Education Support Staff Costs (proportion of total expenditure)
329,CFR_21,PT1920CAT2,,,0%,4%,,3%,6%,4%,10%,,0%,,4%,,2%,,,1%,,,,,1%,0%,5%,1%,0%,3%,1%,0%,,,,1%,1%,,,,0%,4%,,,,,,,1%,,,3%,,,2019-20 Supply Staff Costs (proportion of total expenditure)
330,CFR_21,PT1920CAT3,,,9%,23%,,14%,9%,19%,13%,,11%,,12%,,12%,,,13%,,,,,13%,16%,13%,12%,10%,26%,15%,15%,,,,18%,8%,,,,10%,13%,,,,,,,13%,,,17%,,,2019-20 Back Office (proportion of total expenditure)
331,CFR_21,PT1920CAT4,,,1%,1%,,1%,1%,1%,2%,,1%,,1%,,1%,,,1%,,,,,1%,2%,2%,1%,2%,1%,1%,2%,,,,1%,1%,,,,2%,1%,,,,,,,3%,,,1%,,,2019-20 Energy (proportion of total expenditure)
332,CFR_21,PT1920CAT5,,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,100%,,,,,100%,100%,100%,100%,100%,100%,100%,100%,,,,100%,100%,,,,100%,100%,,,,,,,100%,,,100%,,,2019-20 Total Expenditure (proportion of total expenditure)
333,CFR_21,PT1920CAT1LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2019-20 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
334,CFR_21,PT1920CAT2LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2019-20 Supply Staff Costs (proportion of total expenditure) for LA
335,CFR_21,PT1920CAT3LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2019-20 Back Office (proportion of total expenditure) for LA
336,CFR_21,PT1920CAT4LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2019-20 Energy (proportion of total expenditure) for LA
337,CFR_21,PT1920CAT5LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2019-20 Total Expenditure (proportion of total expenditure) for LA
338,CFR_21,PT2021CAT1,,,49%,46%,,49%,40%,46%,31%,,51%,,42%,,56%,,,52%,,,,,46%,43%,53%,41%,50%,43%,47%,44%,,,,51%,57%,,,,59%,36%,,,,,,,53%,,,42%,,,2020-21 Teaching and Education Support Staff Costs (proportion of total expenditure)
339,CFR_21,PT2021CAT2,,,0%,5%,,1%,8%,4%,9%,,0%,,2%,,1%,,,2%,,,,,1%,0%,3%,1%,0%,0%,3%,1%,,,,0%,0%,,,,0%,2%,,,,,,,0%,,,0%,,,2020-21 Supply Staff Costs (proportion of total expenditure)
340,CFR_21,PT2021CAT3,,,10%,25%,,14%,9%,17%,9%,,11%,,13%,,13%,,,10%,,,,,14%,15%,15%,12%,12%,22%,18%,15%,,,,20%,8%,,,,11%,13%,,,,,,,14%,,,20%,,,2020-21 Back Office (proportion of total expenditure)
341,CFR_21,PT2021CAT4,,,2%,1%,,1%,1%,1%,2%,,1%,,2%,,1%,,,2%,,,,,1%,1%,1%,1%,1%,1%,1%,2%,,,,1%,1%,,,,2%,1%,,,,,,,2%,,,1%,,,2020-21 Energy (proportion of total expenditure)
342,CFR_21,PT2021CAT5,,,100%,100%,,100%,100%,100%,100%,,100%,,100%,,100%,,,100%,,,,,100%,100%,100%,100%,100%,100%,100%,100%,,,,100%,100%,,,,100%,100%,,,,,,,100%,,,100%,,,2020-21 Total Expenditure (proportion of total expenditure)
343,CFR_21,PT2021CAT1LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2020-21 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA
344,CFR_21,PT2021CAT2LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2020-21 Supply Staff Costs (proportion of total expenditure) for LA
345,CFR_21,PT2021CAT3LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2020-21 Back Office (proportion of total expenditure) for LA
346,CFR_21,PT2021CAT4LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2020-21 Energy (proportion of total expenditure) for LA
347,CFR_21,PT2021CAT5LA,,,NA,NA,,NA,NA,NA,NA,,NA,,NA,,NA,,,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,,,NA,NA,,,,,,,NA,,,NA,,,2020-21 Total Expenditure (proportion of total expenditure) for LA
348,CFR_21,PDCAT1,,,4%,4%,,7%,-1%,3%,3%,,3%,,3%,,3%,,,4%,,,,,4%,1%,4%,2%,2%,3%,1%,0%,,,,4%,5%,,,,11%,6%,,,,,,,3%,,,-1%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
349,CFR_21,PDCAT2,,,0%,1%,,-2%,2%,0%,-1%,,0%,,-2%,,-1%,,,1%,,,,,0%,0%,-2%,0%,0%,-3%,2%,1%,,,,-1%,-1%,,,,0%,-2%,,,,,,,-1%,,,-3%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
350,CFR_21,PDCAT3,,,1%,2%,,0%,0%,-2%,-4%,,0%,,1%,,1%,,,-3%,,,,,1%,-1%,2%,0%,2%,-4%,3%,0%,,,,2%,0%,,,,1%,0%,,,,,,,1%,,,3%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
351,CFR_21,PDCAT4,,,1%,0%,,0%,0%,0%,0%,,0%,,1%,,0%,,,1%,,,,,0%,-1%,-1%,0%,-1%,0%,0%,0%,,,,0%,0%,,,,0%,0%,,,,,,,-1%,,,0%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
352,CFR_21,PDCAT5,,,0%,0%,,0%,0%,0%,0%,,0%,,0%,,0%,,,0%,,,,,0%,0%,0%,0%,0%,0%,0%,0%,,,,0%,0%,,,,0%,0%,,,,,,,0%,,,0%,,,Difference between 2018-19 and 2020-21 (percentage point difference)
