No,Namespace,Variable,Grestone Academy - 139904,Blakesley Hall Primary School - 103300,Crocketts Community Primary School - 103941,St Peters CofE Primary School - 134476,Stechford Primary School - 103262,Corpus Christi Catholic Primary School - 103424,Galton Valley Primary School - 135288,Water Mill Primary School - 103326,St Bernard's Catholic Primary School - 103462,The Regis Academy - 148359,Dorrington Academy - 138218,Featherstone Primary School - 103318,Raddlebarn Primary School - 103246,Uplands Manor Primary School and Nursery - 131184,St Dunstan's Catholic Primary School - 103455,Hodge Hill Primary School - 143869,St Gregory's Catholic Primary School - 141924,Yarnfield Primary School - 139378,Yorkmead Junior and Infant School - 103284,Cherry Oak School - 103626,Wilson Stuart School - 138281,Birches Green Junior School - 103168,Birches Green Infant School - 103169,Birches Green Junior School - 148887,Our Lady of Fatima Catholic Primary School - 141484,Beaufort School - 103627,Yardley Primary School - 133996,Abbey Infant School - 103930,Saint Barnabas Church of England Primary School - 103412,Saint Barnabas Church of England Primary School - 147478,Abbey Junior School - 103929,St Margaret Mary RC Junior and Infant School - 103453,St Mary's Church of England Primary School - 103410,Tame Valley Academy - 139011,Colebourne Primary School - 103263,Riverside Education - 142338,Oscott Manor School - 103628,Hodge Hill College - 103503,St John Wall Catholic School - 103534,Selly Park  Girls' School - 103498,Braidwood School for the Deaf - 103611,Bishop Challoner Catholic College - 103560,Hodge Hill Girls' School - 103483,Baskerville School - 103606,Al-Burhan Grammar School - 134034,North Birmingham Academy - 136032,Sandwell Academy - 134993,King Edward VI Camp Hill School for Girls - 137044,King Edward VI Camp Hill School for Boys - 137045,Imedia School - 143040,National state-funded primary,National state-funded secondary and 16 to 18,Description
513,KS4_PUPDEST_21,OVERALL_DESTPER_19,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,100%,93%,89%,98%,100%,92%,99%,100%,,93%,96%,99%,97%,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2017/18 leavers)
514,KS4_PUPDEST_21,COHORT_DIS_19,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,SUPP,130,65,92,SUPP,53,70,7,,95,47,11,7,,,,Number of disadvantaged pupils completing key stage 4 in 2017/18
515,KS4_PUPDEST_21,OVERALL_DESTPER_DIS_19,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,SUPP,94%,91%,97%,SUPP,87%,97%,100%,,93%,89%,100%,100%,,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2017/18 leavers)
516,KS4_PUPDEST_21,COHORT_NONDIS_19,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,SUPP,96,42,44,SUPP,122,79,6,,54,139,109,88,,,,Number of pupils not identified as disadvantaged completing key stage 4 in 2017/18
517,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS_19,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,SUPP,93%,86%,100%,SUPP,94%,100%,100%,,93%,98%,99%,97%,,,,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2017/18 leavers)
518,KS4_PUPDEST_21,COHORT_18,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,13,221,117,136,14,182,151,14,,153,180,121,93,,,,Number of pupils completing key stage 4 in 2016/17
519,KS4_PUPDEST_21,OVERALL_DESTPER_18,,,,,,,,,,,,,,,,,,,,,94%,,,,,,,,,,,,,,,,100%,91%,89%,96%,100%,95%,93%,100%,,90%,96%,100%,98%,,,,Pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
520,KS4_PUPDEST_21,COHORT_DIS_18,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,124,62,76,SUPP,59,54,8,,91,41,12,8,,,,Number of disadvantaged pupils completing key stage 4 in 2016/17
521,KS4_PUPDEST_21,OVERALL_DESTPER_DIS_18,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,93%,89%,95%,SUPP,92%,94%,100%,,88%,95%,100%,100%,,,,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
522,KS4_PUPDEST_21,COHORT_NONDIS_18,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,97,55,60,SUPP,123,97,6,,62,139,109,85,,,,Number of pupils not identified as disadvantaged completing key stage 4 in 2016/17
523,KS4_PUPDEST_21,OVERALL_DESTPER_NONDIS_18,,,,,,,,,,,,,,,,,,,,,SUPP,,,,,,,,,,,,,,,,SUPP,90%,89%,98%,SUPP,96%,92%,100%,,92%,96%,100%,98%,,,,Pupils not identified as disadvantaged staying in education or employment for at least two terms after key stage 4 (percentage) (2016/17 leavers)
524,KS5_STUDEST_19,RECTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,7,Record type
525,KS5_STUDEST_19,LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,330,333,330,330,,,,Local authority number
526,KS5_STUDEST_19,ESTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5413,,,,6909,6905,5406,5407,,,,Establishment number
527,KS5_STUDEST_19,URN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103560,,,,136032,134993,137044,137045,,,,Unique Reference Number of establishment
528,KS5_STUDEST_19,SCHNAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bishop Challoner Catholic College,,,,North Birmingham Academy,Sandwell Academy,King Edward VI Camp Hill School for Girls,King Edward VI Camp Hill School for Boys,,,,School/college name
529,KS5_STUDEST_19,NFTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,AC,AC,ACC,ACC,,,,School type/FE college type
530,KS5_STUDEST_19,FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,,,,Feeder flag
531,KS5_STUDEST_19,ICLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,,,,Closed school/college flag
532,KS5_STUDEST_19,TOT_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,48,154,156,124,,,534328,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  
533,KS5_STUDEST_19,TOT_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,39,141,139,111,,,434923,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
534,KS5_STUDEST_19,TOT_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,10,0,1,,,50905,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) 
535,KS5_STUDEST_19,TOT_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,33,115,124,100,,,249671,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
536,KS5_STUDEST_19,TOT_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,2,2,0,,,51927,Further education (level 3 and below) (All levels of study)  (number of students) 
537,KS5_STUDEST_19,TOT_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,31,111,122,96,,,186006,Higher education (level 4 and above) (All levels of study)  (number of students) 
538,KS5_STUDEST_19,TOT_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,2,0,4,,,11738,Other education destinations (All levels of study)  (number of students) 
539,KS5_STUDEST_19,TOT_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,5,16,15,10,,,134347,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
540,KS5_STUDEST_19,TOT_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,4,12,8,9,,,67546,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) 
541,KS5_STUDEST_19,TOT_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,1,9,4,,,31859,Activity not captured in data (All levels of study)  (number of students) 
542,KS5_STUDEST_19,TOT_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84%,,,,81%,92%,89%,90%,,,81%,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
543,KS5_STUDEST_19,TOT_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,,,2%,6%,0%,1%,,,10%,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) 
544,KS5_STUDEST_19,TOT_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58%,,,,69%,75%,79%,81%,,,47%,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) 
545,KS5_STUDEST_19,TOT_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,,,2%,1%,1%,0%,,,10%,Further education (level 3 and below) (All levels of study) (percentage) 
546,KS5_STUDEST_19,TOT_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41%,,,,65%,72%,78%,77%,,,35%,Higher education (level 4 and above) (All levels of study) (percentage) 
547,KS5_STUDEST_19,TOT_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,,,,2%,1%,0%,3%,,,2%,Other education destinations (All levels of study) (percentage) 
548,KS5_STUDEST_19,TOT_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22%,,,,10%,10%,10%,8%,,,25%,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
549,KS5_STUDEST_19,TOT_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%,,,,8%,8%,5%,7%,,,13%,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) 
550,KS5_STUDEST_19,TOT_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,,10%,1%,6%,3%,,,6%,Activity not captured in data (All levels of study) (percentage) 
551,KS5_STUDEST_19,TOT_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,31,29,25,11,,,126255,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  (disadvantaged)
552,KS5_STUDEST_19,TOT_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,26,24,20,9,,,91050,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
553,KS5_STUDEST_19,TOT_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,0,0,,,10177,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
554,KS5_STUDEST_19,TOT_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,21,23,18,8,,,50803,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
555,KS5_STUDEST_19,TOT_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,SUPP,0,,,15980,Further education (level 3 and below) (All levels of study)  (number of students) (disadvantaged)
556,KS5_STUDEST_19,TOT_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,19,22,SUPP,8,,,31962,Higher education (level 4 and above) (All levels of study)  (number of students) (disadvantaged)
557,KS5_STUDEST_19,TOT_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,0,0,0,,,2861,Other education destinations (All levels of study)  (number of students) (disadvantaged)
558,KS5_STUDEST_19,TOT_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,4,0,2,1,,,30070,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
559,KS5_STUDEST_19,TOT_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,4,2,1,,,26191,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (disadvantaged)
560,KS5_STUDEST_19,TOT_NOT_CAPTURED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,1,3,1,,,9014,Activity not captured in data (All levels of study)  (number of students) (disadvantaged)
561,KS5_STUDEST_19,TOT_OVERALLPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86%,,,,84%,83%,80%,82%,,,72%,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
562,KS5_STUDEST_19,TOT_APPRENPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,3%,3%,0%,0%,,,8%,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
563,KS5_STUDEST_19,TOT_EDUCATIONPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64%,,,,68%,79%,72%,73%,,,40%,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
564,KS5_STUDEST_19,TOT_FEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,3%,3%,SUPP,0%,,,13%,Further education (level 3 and below) (All levels of study) (percentage) (disadvantaged)
565,KS5_STUDEST_19,TOT_HEPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36%,,,,61%,76%,SUPP,73%,,,25%,Higher education (level 4 and above) (All levels of study) (percentage) (disadvantaged)
566,KS5_STUDEST_19,TOT_OTHER_EDUPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,,,,3%,0%,0%,0%,,,2%,Other education destinations (All levels of study) (percentage) (disadvantaged)
567,KS5_STUDEST_19,TOT_EMPLOYMENTPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,,13%,0%,8%,9%,,,24%,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
568,KS5_STUDEST_19,TOT_NOT_SUSTAINEDPER_DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,,,,6%,14%,8%,9%,,,21%,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (disadvantaged)
569,KS5_STUDEST_19,TOT_NOT_CAPTUREDPER_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,10%,3%,12%,9%,,,7%,Activity not captured in data (All levels of study) (percentage) (disadvantaged)
570,KS5_STUDEST_19,TOT_COHORT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,17,125,131,113,,,408073,Number of students who reached the end of 16 to 18 study in 2016/17 (All levels of study)  (not identified as disadvantaged)
571,KS5_STUDEST_19,TOT_OVERALL_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,13,117,119,102,,,343873,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
572,KS5_STUDEST_19,TOT_APPREN_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,0,9,0,1,,,40728,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
573,KS5_STUDEST_19,TOT_EDUCATION_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,12,92,106,92,,,198868,Students staying in education for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
574,KS5_STUDEST_19,TOT_FE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,0,1,SUPP,0,,,35947,Further education (level 3 and below) (All levels of study)  (number of students) (not identified as disadvantaged)
575,KS5_STUDEST_19,TOT_HE_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,12,89,SUPP,88,,,154044,Higher education (level 4 and above) (All levels of study)  (number of students) (not identified as disadvantaged)
576,KS5_STUDEST_19,TOT_OTHER_EDU_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,0,2,0,4,,,8877,Other education destinations (All levels of study)  (number of students) (not identified as disadvantaged)
577,KS5_STUDEST_19,TOT_EMPLOYMENT_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,1,16,13,9,,,104277,Students staying in employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
578,KS5_STUDEST_19,TOT_NOT_SUSTAINED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,2,8,6,8,,,41355,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study)  (number of students) (not identified as disadvantaged)
579,KS5_STUDEST_19,TOT_NOT_CAPTURED_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,0,6,3,,,22845,Activity not captured in data (All levels of study)  (number of students) (not identified as disadvantaged)
580,KS5_STUDEST_19,TOT_OVERALLPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83%,,,,76%,94%,91%,90%,,,84%,Staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
581,KS5_STUDEST_19,TOT_APPRENPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,,0%,7%,0%,1%,,,10%,Staying in apprenticeships for at least 6 months after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
582,KS5_STUDEST_19,TOT_EDUCATIONPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56%,,,,71%,74%,81%,81%,,,49%,Students staying in education for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
583,KS5_STUDEST_19,TOT_FEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,,0%,1%,SUPP,0%,,,9%,Further education (level 3 and below) (All levels of study) (percentage) (not identified as disadvantaged)
584,KS5_STUDEST_19,TOT_HEPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43%,,,,71%,71%,SUPP,78%,,,38%,Higher education (level 4 and above) (All levels of study) (percentage) (not identified as disadvantaged)
585,KS5_STUDEST_19,TOT_OTHER_EDUPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,,,,0%,2%,0%,4%,,,2%,Other education destinations (All levels of study) (percentage) (not identified as disadvantaged)
586,KS5_STUDEST_19,TOT_EMPLOYMENTPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22%,,,,6%,13%,10%,8%,,,26%,Students staying in employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
587,KS5_STUDEST_19,TOT_NOT_SUSTAINEDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,,12%,6%,5%,7%,,,10%,Students not staying in education or employment for at least two terms after 16 to 18 study (All levels of study) (percentage) (not identified as disadvantaged)
588,KS5_STUDEST_19,TOT_NOT_CAPTUREDPER_NONDIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,,12%,0%,5%,3%,,,6%,Activity not captured in data (All levels of study) (percentage) (not identified as disadvantaged)
589,KS5_STUDEST_19,L3_COHORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,45,152,154,124,,,379441,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  
590,KS5_STUDEST_19,L3_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,38,139,138,111,,,333707,Staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
591,KS5_STUDEST_19,L3_APPREN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,9,0,1,,,27086,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3)  (number of students) 
592,KS5_STUDEST_19,L3_EDUCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,33,115,124,100,,,217387,Students staying in education for at least two terms after 16 to 18 study (Level 3)  (number of students) 
593,KS5_STUDEST_19,L3_FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,2,2,0,,,23189,Further education (level 3 and below) (Level 3)  (number of students) 
594,KS5_STUDEST_19,L3_HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,31,111,122,96,,,185383,Higher education (level 4 and above) (Level 3)  (number of students) 
595,KS5_STUDEST_19,L3_OTHER_EDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1,2,0,4,,,8815,Other education destinations (Level 3)  (number of students) 
596,KS5_STUDEST_19,L3_EMPLOYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,4,15,14,10,,,89234,Students staying in employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
597,KS5_STUDEST_19,L3_NOT_SUSTAINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,3,12,8,9,,,30770,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) 
598,KS5_STUDEST_19,L3_NOT_CAPTURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,4,1,8,4,,,14964,Activity not captured in data (Level 3)  (number of students) 
599,KS5_STUDEST_19,L3_OVERALLPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86%,,,,84%,91%,90%,90%,,,88%,Staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
600,KS5_STUDEST_19,L3_APPRENPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,,,2%,6%,0%,1%,,,7%,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3) (percentage) 
601,KS5_STUDEST_19,L3_EDUCATIONPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62%,,,,73%,76%,81%,81%,,,57%,Students staying in education for at least two terms after 16 to 18 study (Level 3) (percentage) 
602,KS5_STUDEST_19,L3_FEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,,,,2%,1%,1%,0%,,,6%,Further education (level 3 and below) (Level 3) (percentage) 
603,KS5_STUDEST_19,L3_HEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43%,,,,69%,73%,79%,77%,,,49%,Higher education (level 4 and above) (Level 3) (percentage) 
604,KS5_STUDEST_19,L3_OTHER_EDUPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,,,,2%,1%,0%,3%,,,2%,Other education destinations (Level 3) (percentage) 
605,KS5_STUDEST_19,L3_EMPLOYMENTPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,,9%,10%,9%,8%,,,24%,Students staying in employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
606,KS5_STUDEST_19,L3_NOT_SUSTAINEDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,,,,7%,8%,5%,7%,,,8%,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3) (percentage) 
607,KS5_STUDEST_19,L3_NOT_CAPTUREDPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,,9%,1%,5%,3%,,,4%,Activity not captured in data (Level 3) (percentage) 
608,KS5_STUDEST_19,L3_COHORT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,SUPP,SUPP,24,11,,,69736,Number of students who reached the end of 16 to 18 study in 2016/17 (Level 3)  (disadvantaged)
609,KS5_STUDEST_19,L3_OVERALL_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,SUPP,SUPP,20,9,,,58907,Staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
610,KS5_STUDEST_19,L3_APPREN_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,SUPP,0,0,,,3986,Staying in apprenticeships for at least 6 months after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
611,KS5_STUDEST_19,L3_EDUCATION_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,SUPP,SUPP,18,8,,,39465,Students staying in education for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
612,KS5_STUDEST_19,L3_FE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,SUPP,SUPP,0,,,5809,Further education (level 3 and below) (Level 3)  (number of students) (disadvantaged)
613,KS5_STUDEST_19,L3_HE_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,SUPP,SUPP,SUPP,8,,,31767,Higher education (level 4 and above) (Level 3)  (number of students) (disadvantaged)
614,KS5_STUDEST_19,L3_OTHER_EDU_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,0,0,0,,,1889,Other education destinations (Level 3)  (number of students) (disadvantaged)
615,KS5_STUDEST_19,L3_EMPLOYMENT_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,SUPP,0,2,1,,,15456,Students staying in employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
616,KS5_STUDEST_19,L3_NOT_SUSTAINED_DIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,SUPP,SUPP,2,1,,,8094,Students not staying in education or employment for at least two terms after 16 to 18 study (Level 3)  (number of students) (disadvantaged)
